"DamID","StreamID","NoDams_UStoDS","NoDams_DStoUS","DamOrder","USdam","DistMouth.km.","USlth","DSlth","Uslth_cum","TOTlth","USarea_ind","USarea_cum","TOTarea","USrain_ind","USrain_cum","TOTRain","DCIp.sim1","DCId.sim1","CAFI1_sim1","CAFI0.75_sim1","CAFI0.5_sim1","CAFI0.25_sim1","CARFI1_sim1","CARFI0.75_sim1","CARFI0.5_sim1","CARFI0.25_sim1","DCIp.sim2.usds","DCIp.sim2.dsus","DCId.sim2.usds","DCId.sim2.dsus","CAFI1_sim2_usds","CAFI0.75_sim2_usds","CAFI0.5_sim2_usds","CAFI0.25_sim2_usds","CAFI1_sim2_dsus","CAFI0.75_sim2_dsus","CAFI0.5_sim2_dsus","CAFI0.25_sim2_dsus","CARFI1_sim2_usds","CARFI0.75_sim2_usds","CARFI0.5_sim2_usds","CARFI0.25_sim2_usds","CARFI1_sim2_dsus","CARFI0.75_sim2_dsus","CARFI0.5_sim2_dsus","CARFI0.25_sim2_dsus","DCIpmean.sim3","DCIpsd.sim3","DCIdmean.sim3","DCIdsd.sim3","CAFI1_sim3_mean","CAFI1_sim3_sd","CAFI0.75_sim3_mean","CAFI0.75_sim3_sd","CAFI0.5_sim3_mean","CAFI0.5_sim3_sd","CAFI0.25_sim3_mean","CAFI0.25_sim3_sd","CARFI1_sim3_mean","CARFI1_sim3_sd","CARFI0.75_sim3_mean","CARFI0.75_sim3_sd","CARFI0.5_sim3_mean","CARFI0.5_sim3_sd","CARFI0.25_sim3_mean","CARFI0.25_sim3_sd"
"NoDam",NA,0,0,NA,NA,1000,0,50,0,1000,0,0,10000,0,0,2000,100,100,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A","A",1,20,1,NA,825,50,50,50,1000,500,500,10000,2200,2200,2000,90.5,82.5,5,3.75,2.5,1.25,5.5,4.125,2.75,1.375,90.5,5,95,0,5,3.75,2.5,1.25,1030,772.5,515,257.5,5.5,4.125,2.75,1.375,778.027,583.521,389.014,194.507,69.855,15.6400959399264,48.15,31.1938788996829,51.1,31.595,38.325,23.697,25.55,15.798,12.775,7.899,38.814,19.743,29.11,14.807,19.407,9.871,9.703,4.936
"B","A",2,19,1,"A",775,50,25,100,1000,500,1000,10000,2000,2100,2000,82,77.5,10,7.5,5,2.5,10.5,7.875,5.25,2.625,81.5,5,90,0,10,7.5,5,2.5,1025,768.75,512.5,256.25,11,8.25,5.5,2.75,772.528,579.396,386.264,193.132,52.895,13.8832241983415,27.95,21.7666109795566,101.65,41.628,76.238,31.221,50.825,20.814,25.413,10.407,78.396,26.645,58.797,19.984,39.198,13.323,19.599,6.661
"C","B",3,18,1,NA,825,50,50,50,1000,500,500,10000,2200,2200,2000,90.5,82.5,5,3.75,2.5,1.25,5.5,4.125,2.75,1.375,73,5.5,85,0,20,15,10,5,1020,765,510,255,21.5,16.125,10.75,5.375,767.028,575.271,383.514,191.757,39.47,10.1451137664066,20.25,18.6050796799957,150.9,54.171,113.175,40.629,75.45,27.086,37.725,13.543,119.325,28.006,89.494,21.005,59.663,14.003,29.831,7.002
"D","B",4,17,1,"C",775,50,25,100,1000,500,1000,10000,2000,2100,2000,82,77.5,10,7.5,5,2.5,10.5,7.875,5.25,2.625,65,6,80,0,30,22.5,15,7.5,1010,757.5,505,252.5,32,24,16,8,756.527,567.396,378.264,189.132,32.405,8.46224383405907,17.65,14.8809246752989,207.6,60.509,155.7,45.382,103.8,30.255,51.9,15.127,151.905,32.142,113.929,24.107,75.953,16.071,37.976,8.036
"E","AB",5,17,2,"B",750,50,50,250,1000,500,2500,10000,1800,1950,2000,62.5,75,25,18.75,12.5,6.25,24.375,18.28125,12.1875,6.09375,57.5,6,75,0,55,41.25,27.5,13.75,1010,757.5,505,252.5,56.375,42.281,28.188,14.094,756.527,567.396,378.264,189.132,27.285,5.91191870954624,12.45,12.3602286599097,271.25,58.475,203.438,43.857,135.625,29.238,67.812,14.619,190.776,36.622,143.082,27.467,95.388,18.311,47.694,9.156
"E","AB",5,16,2,"D",750,50,50,250,1000,500,2500,10000,1800,1950,2000,62.5,75,25,18.75,12.5,6.25,24.375,18.28125,12.1875,6.09375,57.5,10,75,0,55,41.25,27.5,13.75,1000,750,500,250,56.375,42.281,28.188,14.094,746.028,559.521,373.014,186.507,27.285,5.91191870954624,12.45,12.3602286599097,271.25,58.475,203.438,43.857,135.625,29.238,67.812,14.619,190.776,36.622,143.082,27.467,95.388,18.311,47.694,9.156
"F","AB",6,15,2,"E",700,50,50,300,1000,500,3000,10000,1700,1850,2000,58,70,30,22.5,15,7.5,27.75,20.8125,13.875,6.9375,50.5,12.5,70,0,85,63.75,42.5,21.25,975,731.25,487.5,243.75,84.125,63.094,42.062,21.031,721.652,541.239,360.826,180.413,22.89,4.5508241011931,10,10,311.45,60.916,233.588,45.687,155.725,30.458,77.862,15.229,230.145,43.988,172.609,32.991,115.072,21.994,57.536,10.997
"G","AB",7,14,2,"F",650,50,50,350,1000,500,3500,10000,1600,1750,2000,54.5,65,35,26.25,17.5,8.75,30.625,22.96875,15.3125,7.65625,44,15.5,65,0,120,90,60,30,945,708.75,472.5,236.25,114.75,86.062,57.375,28.688,693.902,520.427,346.951,173.476,19.815,3.02986398334575,7.45,7.12425789153162,355.75,63.709,266.812,47.781,177.875,31.854,88.938,15.927,270.153,37.998,202.615,28.499,135.077,18.999,67.538,9.5
"H","AB",8,13,2,"G",600,50,50,400,1000,500,4000,10000,1500,1650,2000,52,60,40,30,20,10,33,24.75,16.5,8.25,38,19,60,0,160,120,80,40,910,682.5,455,227.5,147.75,110.812,73.875,36.938,663.277,497.458,331.639,165.819,17.64,4.28061168101433,6.75,7.89370673768706,426.9,64.732,320.175,48.549,213.45,32.366,106.725,16.183,307.515,41.541,230.636,31.156,153.758,20.771,76.879,10.385
