,Basin_name,Dewater,LargeDams,SHPs
1,Aghanashini,100,100,100
2,Badagani,100,100,100
3,Bhima,50.86326754,59.40927308,50.78529953
4,Byndoor,100,100,100
5,Chakra,NA,69.06683114,NA
6,ChandragiriPuzha,100,100,100
7,Gangavali,NA,86.41273522,NA
8,Gundabala,100,100,100
9,Gurupura,51.64355726,NA,51.66473385
10,Haladi,43.86385279,63.70416434,44.90660325
11,Hattikeri,100,100,100
12,Kali,NA,19.2490086,NA
13,Kaveri,NA,54.26914548,8.907017781
14,Kolluru,100,100,100
15,Krishna,65.86958573,39.43173589,65.99713904
16,Nandini,100,100,100
17,Nethravathi,25.36262044,NA,25.56076592
18,NorthPennar,100,100,100
19,Paapanashini,100,100,100
20,Palar,100,100,100
21,Pangala,100,100,100
22,Sankadagundi,100,100,100
23,Shambhavi,100,100,100
24,Sharavathi,NA,62.6057065,65.29960794
25,Shiroor,100,100,100
26,Shriya,100,100,100
27,Sita,100,100,100
28,SouthPennar,100,100,100
29,Suvarna,35.46177609,NA,34.74330397
30,Tunga,34.38649008,44.84921905,34.44532798
31,Uppala,100,100,100
32,Venkatapura,100,100,100
33,Yadamavu,100,100,100
