"","Basin_name","Direction","Dewater","Existing_Proposed_total","Existing_total","LargeDams","SHPs","SHPs_new"
"1","Aghanashini","West",NA,42.3563780344101,NA,NA,42.3563780344101,42.3563780344101
"2","Badagani","West",100,100,100,100,100,100
"3","Bhima","East",50.7826429039814,12.9382177649368,28.3512306242704,59.4092732714746,50.785299563208,24.7056974802158
"4","Byndoor","West",100,100,100,100,100,100
"5","Chakra","West",NA,51.6683027123765,69.0668530101044,69.0668530101044,51.6683027123765,51.6683027123765
"6","ChandragiriPuzha","West",NA,33.7728082878028,NA,NA,33.7728082878028,33.7728082878028
"7","Gangavali","West",NA,34.1383636813688,86.4127352235863,86.4127352235863,34.1383636813688,34.1383636813688
"8","Gundabala","West",NA,57.8848129071499,NA,NA,57.8848129071499,57.8848129071499
"9","Gurupura","West",51.6436618069954,29.1650929569593,51.6436618069954,NA,51.6647338464214,29.1650929569593
"10","Haladi","West",44.6231072999536,17.8275902102407,44.4333327987052,63.7041643363596,44.9066032476563,26.174382990763
"11","Hattikeri","West",100,100,100,100,100,100
"12","Kali","West",NA,54.4723607086514,19.249005508649,19.249005508649,54.4723607086514,54.4723607086514
"13","Kaveri","East",8.54989559046719,3.84981528962235,NA,54.2691518157861,8.89326611865568,11.463892943309
"14","Kolluru","West",NA,37.7408148947041,NA,NA,37.7408148947041,37.7408148947041
"15","Krishna","East",65.9158889935897,10.6089592101474,29.9867502865854,39.4317350484628,65.9971308085616,15.2296238993876
"16","Nandini","West",100,100,100,100,100,100
"17","Nethravathi","West",25.354777464038,6.6076899274576,25.354777464038,NA,25.5607409575547,6.6076899274576
"18","NorthPennar","East",100,100,100,100,100,100
"19","Paapanashini","West",100,100,100,100,100,100
"20","Palar","East",100,100,100,100,100,100
"21","Pangala","West",100,100,100,100,100,100
"22","Sankadagundi","West",NA,53.1013045507275,NA,NA,53.1013045507275,53.1013045507275
"23","Shambhavi","West",NA,63.6607917628398,NA,NA,63.6607917628398,63.6607917628398
"24","Sharavathi","West",66.3240022834815,62.3637776759598,62.5500463559984,62.6056934334716,66.6282845596614,67.4196137017652
"25","Shiroor","West",100,100,100,100,100,100
"26","Shriya","West",100,100,100,100,100,100
"27","Sita","West",NA,45.5722227429845,NA,NA,45.5722227429845,45.5722227429845
"28","SouthPennar","East",NA,90.3747109850116,NA,NA,90.3747109850116,90.3747109850116
"29","Suvarna","West",34.6310470618067,17.0316407065695,34.6310470618067,NA,34.7433023834629,17.0316407065695
"30","Tunga","East",34.4379327080413,13.8203835911349,13.8203835911349,44.8492190539997,34.4453279822742,NA
"31","Uppala","West",100,100,100,100,100,100
"32","Venkatapura","West",NA,79.9896958799593,NA,NA,79.9896958799593,79.9896958799593
"33","Yadamavu","West",100,100,100,100,100,100
