"","Basn_nm","Fish_sp_rich"
"1","Aghanashini",154
"2","Badagani",125
"3","Bhima",71
"4","Byndoor",119
"5","Chakra",132
"6","ChandragiriPuzha",164
"7","Gangavali",142
"8","Gundabala",134
"9","Gurupura",161
"10","Haladi",144
"11","Hattikeri",155
"12","Kali",148
"13","Kaveri",250
"14","Kolluru",141
"15","Krishna",168
"16","Nandini",114
"17","Nethravathi",184
"18","NorthPennar",83
"19","Paapanashini",106
"20","Palar",69
"21","Pangala",105
"22","Sankadagundi",131
"23","Shambhavi",142
"24","Sharavathi",167
"25","Shiroor",131
"26","Shriya",151
"27","Sita",145
"28","SouthPennar",74
"29","Suvarna",156
"30","Tunga",219
"31","Uppala",136
"32","Venkatapura",141
"33","Yadamavu",112
