Basn_nm,max,min
Bhima,727,324
Kaveri,2017,231
Krishna,1458,317
Nethravathi,1716,-13
NorthPennar,1446,256
Palar,1364,251
SouthPennar,1474,498
Tunga,1921,259
Shiroor,1020,0
Sankadagundi,886,-2
Yadamavu,184,-5
Pangala,95,0
Byndoor,1004,-2
Badagani,673,-10
Nandini,215,-8
Hattikeri,796,-6
Gundabala,663,-29
Uppala,291,-5
Kolluru,1338,-18
Paapanashini,225,-13
Venkatapura,805,-15
Shambhavi,321,-19
Chakra,1080,-18
Shriya,324,-4
Sita,1155,-26
Haladi,944,-18
Suvarna,1225,-22
Gurupura,1886,-8
ChandragiriPuzha,1471,-15
Aghanashini,794,-24
Sharavathi,1099,-7
Gangavali,835,-5
Kali,1044,-25
